Q3BML6,2018-03-26 23:41:47.801,Images displayed to user
Q3BML6,2018-03-26 23:41:49.085,User selected image
Q3BML6,2018-03-26 23:41:49.543,User selected image
Q3BML6,2018-03-26 23:41:50.161,User selected image
Q3BML6,2018-03-26 23:41:50.719,User selected image
Q3BML6,2018-03-26 23:41:51.154,User selected image
Q3BML6,2018-03-26 23:41:52.062,Login Attempt Fail
Q3BML6,2018-03-26 23:41:54.065,User selected image
Q3BML6,2018-03-26 23:41:54.536,User selected image
Q3BML6,2018-03-26 23:41:56.396,User selected image
Q3BML6,2018-03-26 23:41:57.570,User selected image
Q3BML6,2018-03-26 23:41:58.688,User selected image
Q3BML6,2018-03-26 23:42:00.132,Login Attempt Fail
Q3BML6,2018-03-26 23:42:02.705,User selected image
Q3BML6,2018-03-26 23:42:04.064,User selected image
Q3BML6,2018-03-26 23:42:05.287,User selected image
Q3BML6,2018-03-26 23:42:06.308,User selected image
Q3BML6,2018-03-26 23:42:07.179,User selected image
Q3BML6,2018-03-26 23:42:08.494,Login Fail - No more attempts
